id	generation	parent1	parent2	feasible	[Continuous] input_0	[Categorical] input_1	[Minimize] displacement	[Minimize] material
83	1	25	17	True	[0.35986295391910306, 5.0, 2.05596337920252, 1.159835310731547, 0.023017643652080755, 1.3219783645774748]	[0, 1, 1, 2, 1]	0.010242	3781.353159
84	1	20	13	True	[4.108123667060336, 3.712036799955345, 0.49210531457517115, 0.0, 4.5427830262313424, 2.9869008093009213]	[2, 2, 1, 1, 0]	0.066751	4479.980876
85	1	23	43	True	[2.6602472110096693, 3.2850343689802943, 3.3539344014645147, 1.519314717817452, 2.6944627851446827, 3.284996133029285]	[2, 1, 0, 2, 0]	0.019802	4037.214395
86	1	43	36	True	[1.831819056657741, 2.91674040828964, 4.579680372155624, 4.0723538569811755, 3.3199136380742926, 0.5243642229565496]	[1, 2, 1, 2, 1]	0.001217	5099.994554
87	1	30	18	True	[1.002533560193382, 3.9431242632017938, 4.409090296719794, 4.23946158191405, 0.5840191089028217, 1.7970667676841494]	[1, 0, 0, 0, 2]	0.007156	3917.019248
88	1	25	37	True	[0.3585808838302144, 4.936074005575452, 1.9409226093816776, 2.4024734223370254, 1.2156967054100662, 0.8675765061302493]	[0, 2, 1, 2, 2]	0.002336	4337.519144
89	1	14	42	True	[1.9651968015772796, 3.7705537932090856, 2.6031786232786875, 3.337009186712743, 4.202066613379133, 0.8487312300286656]	[2, 1, 1, 2, 0]	0.001627	4667.695564
90	1	6	8	True	[2.4742772632544874, 1.5500021512228608, 3.2266700498130825, 2.386613933384517, 2.380446131962951, 2.887924736133554]	[1, 1, 0, 0, 0]	0.015256	3467.054677
91	1	14	8	True	[0.599829316284919, 1.6552308904033879, 5.0, 3.0498348069811017, 3.647897232240219, 0.7977757039722279]	[1, 1, 0, 1, 0]	0.009503	4417.474023
92	1	11	18	True	[2.281579916477768, 2.5297048392627417, 4.290591056722047, 2.721452914034294, 2.763836316653751, 1.2728203434174414]	[1, 0, 0, 2, 2]	0.005759	4019.789554
93	1	13	4	True	[2.752991594374863, 1.5720769950675477, 1.425049299582216, 4.430453471857966, 2.6407192026597506, 3.1604541968518616]	[1, 1, 1, 2, 1]	0.002774	5012.432732
94	1	18	24	True	[1.7098608661450594, 3.925351468020975, 2.501438385682858, 2.0642731954531786, 3.943846317615555, 0.8300183912862485]	[1, 0, 1, 2, 2]	0.010147	4632.824062
95	1	37	40	True	[1.1868475046693197, 3.822942458568376, 1.7822289358791592, 1.6341129420553209, 4.0245371546490265, 1.47256683700785]	[0, 2, 1, 1, 1]	0.003382	4512.74431
96	1	14	3	True	[3.488950244059917, 5.0, 3.5055432894464142, 4.055823055411143, 4.189863731719702, 0.7677838828353523]	[1, 1, 0, 1, 2]	0.002082	5598.028914
97	1	11	26	True	[1.6507592559080533, 3.6735242244260036, 1.0587716276077455, 4.235808615639013, 1.8337414775605734, 3.1155366092104297]	[2, 0, 1, 0, 2]	0.021407	4369.36735
98	1	1	46	True	[4.122967486875685, 4.706719165115969, 2.148590634945446, 4.987226273223868, 3.1683134335287244, 4.186141233043101]	[0, 1, 0, 2, 2]	0.022924	5219.906626
99	1	47	32	True	[2.6408386293090023, 3.581598767504488, 1.46694349685866, 5.0, 0.9575954861998361, 0.1672878612906311]	[2, 1, 2, 1, 2]	0.002285	4516.359699
100	2	59	None	True	[0.0, 0.8739475748915532, 2.547722327558628, 2.646025012775901, 2.8161585147324812, 0.452777602518665]	[0, 0, 0, 0, 0]	0.006152	2317.893444
101	2	86	None	True	[1.831819056657741, 2.91674040828964, 4.579680372155624, 4.0723538569811755, 3.3199136380742926, 0.5243642229565496]	[1, 2, 1, 2, 1]	0.001217	5099.994554
102	2	62	None	True	[3.452150017467381, 3.00381673215071, 2.1958624980769943, 2.3657818409464024, 2.4407770077022124, 0.08272718752352431]	[2, 1, 0, 0, 1]	0.004274	3626.412736
103	2	78	None	True	[1.8389208257792626, 2.486989693312484, 0.9715809559806533, 1.3574509398012728, 2.9285393458519904, 1.1197897036181381]	[2, 1, 1, 2, 2]	0.002785	3845.193762
104	2	89	None	True	[1.9651968015772796, 3.7705537932090856, 2.6031786232786875, 3.337009186712743, 4.202066613379133, 0.8487312300286656]	[2, 1, 1, 2, 0]	0.001627	4667.695564
105	2	50	66	True	[2.243094912079122, 1.5843617175454263, 2.867118018517866, 1.701715590774987, 0.9764046602739092, 3.010036170327198]	[2, 0, 1, 0, 0]	0.014751	3208.201073
106	2	56	59	True	[2.8610366701589562, 0.6819284210710741, 3.1243950282316586, 2.686010341662318, 2.102419559448253, 0.0]	[0, 1, 0, 0, 0]	0.015188	3054.485748
107	2	54	82	True	[1.9767754003637215, 2.793348283637461, 3.653730163299038, 2.7141311426238475, 1.860685070624518, 4.4282365518889275]	[2, 1, 2, 0, 2]	0.001412	4611.43152
108	2	69	80	True	[2.8173347059439533, 3.772094141459032, 0.13916065353641804, 0.7254707027606547, 1.7608813347080225, 2.4767065218825906]	[2, 1, 2, 0, 0]	0.035768	3436.047794
109	2	97	89	True	[1.579877720729171, 3.7478207380692323, 1.5960760835610444, 3.4044553481987205, 3.5452111871505005, 1.8264802893988508]	[2, 1, 1, 2, 2]	0.00195	4894.721345
110	2	53	54	True	[1.968799467225372, 3.0102778135688233, 2.1309591793333134, 3.0712687069875497, 1.7335095645484637, 5.0]	[2, 1, 1, 0, 2]	0.002318	4462.029941
111	2	52	89	True	[2.0855487435786584, 1.3160661978509733, 2.700026979499739, 2.905700903028457, 3.235316764635798, 0.7024501708978201]	[2, 0, 0, 0, 0]	0.005793	2988.086416
112	2	96	92	True	[2.5469997037132757, 5.0, 4.506113752863814, 4.332024757364448, 3.4770403955027103, 0.6061298250888585]	[1, 0, 0, 2, 2]	0.006282	5055.183199
113	2	54	88	True	[1.617581353989151, 2.982620658049718, 1.405376433312098, 2.8811358733833705, 1.896559498676424, 0.43495187294669035]	[2, 1, 1, 2, 2]	0.001958	4079.636401
114	2	67	79	True	[2.364668805412168, 1.0759131758761482, 4.10538986689665, 2.1113401708172805, 2.249257787069575, 3.3527373074041504]	[1, 2, 0, 0, 1]	0.011364	3940.407086
115	2	62	59	True	[4.405153584800663, 1.914135423863506, 2.608059948543765, 2.478842287691508, 2.4084264540119213, 0.3565561696768775]	[0, 1, 0, 0, 1]	0.019323	3403.943375
116	2	80	88	True	[2.357971296849725, 4.433278001577278, 1.4091803789681008, 2.187163854965304, 1.820485933851546, 3.2688098565380086]	[0, 2, 1, 2, 2]	0.005847	4491.917851
117	2	67	63	True	[4.338463939973465, 0.2630483709538588, 0.08045738876841702, 2.1110896483012693, 1.569881165860211, 4.020821084437463]	[1, 0, 2, 2, 1]	0.024448	4107.606065
118	2	61	89	True	[2.076727744359432, 4.644549294746453, 2.614347726599324, 3.602291187897551, 3.6965698791644357, 0.7776026317713758]	[0, 0, 1, 2, 1]	0.018575	4444.645428
119	2	57	69	True	[2.526562392615647, 4.595488772257484, 1.6467388222512145, 3.5474936767641627, 1.9549892501650135, 1.5983467072849749]	[2, 1, 2, 0, 2]	0.00194	4359.704317
120	2	96	87	True	[0.7959374036620774, 3.86645817672209, 4.623920810915401, 4.1344589085686145, 0.712925141629476, 1.2085788448241577]	[1, 0, 0, 0, 2]	0.006174	3823.521481
121	2	88	59	True	[0.3033252483634658, 5.0, 2.2633306039219123, 2.32467154267587, 1.5264551144826954, 0.5590242472762416]	[0, 2, 1, 0, 2]	0.002005	4043.101459
122	2	85	88	True	[2.1566919124625903, 5.0, 3.464616798108905, 2.486563009322198, 1.3600706060096135, 1.1477318689605167]	[2, 1, 0, 2, 2]	0.00352	4343.035352
123	2	57	99	True	[2.792250566966995, 3.903519047223687, 1.434630425809045, 5.0, 1.4007847173344437, 1.1673498496193178]	[2, 1, 0, 1, 2]	0.020795	4495.422805
124	2	62	53	True	[1.7740921182930744, 3.0975263466147824, 0.0, 2.433743776129493, 2.4199882767490584, 0.0]	[2, 1, 0, 2, 1]	0.026779	3638.268515
125	2	50	99	True	[1.3584496736975342, 2.2331087916891543, 1.4446522023557946, 4.786232161598774, 1.0522721426325097, 2.356948875894081]	[1, 0, 1, 2, 0]	0.015927	4421.803863
126	2	51	99	True	[3.2074058887818633, 3.587811002384749, 1.5765942113267704, 3.4594154885225814, 1.9615798799777655, 0.36889411640440994]	[2, 1, 2, 1, 0]	0.002029	4115.496388
127	2	57	88	True	[0.0, 4.228289357151375, 1.6904376994404584, 1.5233731487302278, 1.7122504804889114, 1.3784449538806571]	[2, 1, 1, 2, 2]	0.001553	3933.830686
128	2	69	89	True	[2.464697043073686, 4.350862145072257, 2.6988219225543855, 3.3829957797509005, 3.1101250415226365, 2.5653268220873753]	[1, 1, 1, 0, 0]	0.009591	4499.201658
129	2	57	93	True	[2.969651084240408, 4.219533880465741, 1.5198101621405025, 4.88352138488542, 2.508383137783233, 0.9166217172181572]	[1, 1, 0, 2, 2]	0.01891	5100.377634
130	2	54	68	True	[0.0, 2.938372248855132, 4.661239582057538, 1.521562574445315, 1.1699590436571898, 2.7112419522927693]	[1, 2, 1, 0, 0]	0.014683	3598.564064
131	2	65	95	True	[1.3951466525632048, 3.5641496353564697, 1.8195216109042287, 2.06564928404635, 3.6797227187559445, 0.5637871879341612]	[0, 2, 1, 1, 1]	0.003047	4292.106416
132	2	78	95	True	[1.1730520204461967, 2.629383947459356, 1.1780949948772874, 1.483520553126198, 3.297987621751293, 1.3745226371446897]	[2, 1, 1, 2, 1]	0.002575	3815.46906
